name,rating,review_count,price,latitude,longitude,address,city,state,categories
Union Place Bar and Grill,3.9,62,,35.94084,-83.98708,"4884 Chambliss Ave, Knoxville, TN 37919",Knoxville,TN,"Sports Bars, American"
Twin Peaks,3.6,297,$$,35.9345562666857,-84.0034298915405,"135 N Northshore Dr, Knoxville, TN 37919",Knoxville,TN,"Sports Bars, American, New American"
Bistro By The Tracks,3.8,163,$$$,35.98139813493712,-83.92950883792003,"1123 N Central St, Knoxville, TN 37917",Knoxville,TN,"New American, Wine Bars"
Steamboat on Central,4.8,53,$,35.99048,-83.94094,"2423 N Central St, Knoxville, TN 37917",Knoxville,TN,"Sandwiches, Delis"
Clean Eatz Knoxville - Bearden,4.2,28,,35.9347933,-84.00404032252314,"215 Brookview Centre Way, Ste 104, Knoxville, TN 37919",Knoxville,TN,"Cafes, Juice Bars & Smoothies, Burgers"
Cataleya Cantina,4.4,106,$$,35.90998698426628,-84.09337955801415,"9314 Kingston Pike, Knoxville, TN 37922",Knoxville,TN,"Mexican, Wine Bars, Cocktail Bars"
Sunspot,3.9,310,$$,35.953663,-83.93913,"2200 Cumberland Ave, Knoxville, TN 37916",Knoxville,TN,"American, Sports Bars, Breakfast & Brunch"
Creekside Good Food,4.2,17,,35.98687561664038,-84.04594936606061,"6729 Malone Crk Dr, Knoxville, TN 37931",Knoxville,TN,"Food Trucks, Tacos, Karaoke"
South Coast Pizza,4.5,132,$$,35.959523,-83.904607,"1103 Sevier Ave SE, Knoxville, TN 37920",Knoxville,TN,Pizza
Sonny's Original Southern Pub,3.9,9,,36.0253057,-83.92771259999999,"2613 Adair Dr, Knoxville, TN 37918",Knoxville,TN,"Pubs, Southern, Sandwiches"
Taqueria La Herradura,4.4,96,,35.931651,-84.025448,"7063 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,Mexican
D. P. Dough,3.3,15,,35.95596,-83.93488,"1823 Cumberland Ave, Knoxville, TN 37916",Knoxville,TN,"Italian, Pizza, Chicken Wings"
Gosh Ethiopian Restaurant,4.6,144,$$,35.9474787809534,-83.9787925554891,"3609 Sutherland Ave, Knoxville, TN 37919",Knoxville,TN,"Ethiopian, Vegetarian"
The Egyptian taste,4.8,8,,35.9250625,-84.048182,"8037 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Egyptian, Halal, Arabic"
Waffley Good,4.8,8,,35.953296661377,-83.9893188476562,"Knoxville, TN 37909",Knoxville,TN,"Waffles, Food Trucks"
Loco Burro,4.0,340,$$,35.925970157030115,-84.03688051457878,"7600 Kingston Pike, Ste 1040B, Knoxville, TN 37919",Knoxville,TN,Tex-Mex
Hard Knox Pizzeria,4.3,357,$$,35.942887,-83.978036,"4437 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Pizza, Salad, Desserts"
Maple Street Biscuit Company - Sherrill Hill,4.2,431,$$,35.909862,-84.093307,"9314 Kingston Pike, Knoxville, TN 37922",Knoxville,TN,"Breakfast & Brunch, Coffee & Tea"
Good Golly Tamale,4.7,169,$,35.9701243705595,-83.9180341884481,"112 S Central St, Knoxville, TN 37902",Knoxville,TN,"Vegan, Vegetarian"
Litton's Market and Restaurant,4.0,397,$$,36.0353001,-83.932075,"2803 Essary Dr, Knoxville, TN 37918",Knoxville,TN,"Burgers, Bakeries, Sandwiches"
Scooter's Coffee,0.0,0,,35.9250254481266,-84.04613902453801,"8004 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Coffee & Tea, Juice Bars & Smoothies, Sandwiches"
Cazzy's Corner Grill,4.1,213,$$,35.857013,-84.079332,"2099 Thunderhead Rd, Knoxville, TN 37922",Knoxville,TN,"American, Diners, Bars"
Dosbros Fresh Mexican Grill - Knoxville,4.3,30,,35.942499,-83.977184,"4405 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,Mexican
Calhoun's,3.5,589,$$,35.9590628246472,-83.9158009644181,"400 Neyland Dr, Knoxville, TN 37902",Knoxville,TN,"Barbeque, American, Bars"
Just Blaze Hotdogs,5.0,1,,35.98877470000001,-83.88506919999999,"2800 Martin L King ave, Knoxville, TN 37914",Knoxville,TN,"Food Trucks, Hot Dogs"
Inskip Grill Powell,3.8,15,,36.02704,-84.03465,"2509 W Emory Rd, Powell, TN 37849",Knoxville,TN,"Axe Throwing, Burgers, Ice Cream & Frozen Yogurt"
Kianga's Kitchen,4.7,19,,35.97087944851975,-83.92109437287228,"333 W Depot Ave, Knoxville, TN 37917",Knoxville,TN,"Vegan, Soul Food, Vegetarian"
The Pint House,3.1,32,$$,36.0056,-83.97992,"815 Merchant Dr, Knoxville, TN 37912",Knoxville,TN,"Bars, Burgers, Barbeque"
Central Flats and Taps,4.2,231,$$,35.9819323,-83.9294802,"1204 N Central St, Knoxville, TN 37917",Knoxville,TN,"New American, Bars"
Double Dogs,3.5,104,,35.9134544348978,-84.0798621038371,"8910 Kingston Pike, Knoxville, TN 37923",Knoxville,TN,"Burgers, Sports Bars, American"
Anaba Japanese Cuisine Northshore,3.9,256,$$,35.8641,-84.06415,"9405 S Northshore Dr, Knoxville, TN 37922",Knoxville,TN,"Sushi Bars, Ramen"
Super Chix,4.2,62,,36.00716,-84.02204,"6672 Clinton Hwy, Ste 102, Knoxville, TN 37912",Knoxville,TN,"Chicken Shop, Salad, Burgers"
Charley Biggs Fried Chicken,5.0,1,$,35.99096,-83.953,"3204 Rudy St, Knoxville, TN 37921",Knoxville,TN,"Southern, Fast Food"
Ichiban Asian Cuisine,4.3,109,$$,35.9054607332768,-84.0196344140362,"7507 S Northshore Dr, Knoxville, TN 37919",Knoxville,TN,"Chinese, Sushi Bars"
Bida Saigon,4.1,395,$$,35.9229926146895,-84.0498430042297,"8078 Kingston Pike, Ste 165 & 167, Knoxville, TN 37919",Knoxville,TN,Vietnamese
Rom’s House,4.7,25,$$,35.97036,-83.92216,"333 W Depot Ave, Ste 110, Marble City Market, Knoxville, TN 37917",Knoxville,TN,Afghan
Holy Land Market,4.6,245,$$,35.9472312,-83.9786314,"3601 Sutherland Ave, Knoxville, TN 37919",Knoxville,TN,"Grocery, Middle Eastern, Delis"
The Bohemian Restaurant,4.0,17,,35.975744096508045,-83.9223811518504,"621 Lamar St, Knoxville, TN 37917",Knoxville,TN,"New American, Brewpubs, Mexican"
KOKO Sips + Bites,4.2,26,,35.9168841,-84.08537100000001,"8883 Town and Country Cir, Knoxville, TN 37923",Knoxville,TN,Asian Fusion
Brown Bag,4.5,37,$,35.962453,-83.9160562,"800 S Gay St, Knoxville, TN 37929",Knoxville,TN,"American, Caterers"
Caza Brava Mexican Restaurant,4.5,91,$$,36.00629,-83.98706,"5640 Clinton Hwy, Knoxville, TN 37912",Knoxville,TN,Mexican
Chez Guevara,4.0,274,$$,35.926486883333446,-84.04714366690511,"8023 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Tex-Mex, Tacos"
Marble City Market,4.3,59,$$,35.97026,-83.92195,"333 W Depot Ave, Ste 110, Knoxville, TN 37917",Knoxville,TN,"Bars, Donuts, Burgers"
